Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent summary,Status Category,Status Category Changed
Create a web-based platform to educate and engage users about the Agile Manifesto and methodologies.,AME-2,10015,Epic,To Do,AME,Agile Manifesto Exercise,software,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,Medium,,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,05/Jan/25 12:53 PM,05/Jan/25 12:53 PM,06/Jan/25 12:33 PM,,,0,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,,,,,,,,,,,,,,,,,,,,purple,,,,,0|i00033:,,,,,,,,,,,,,,,,,To Do,05/Jan/25 12:53 PM
Feature 1: Homepage for Agile Manifesto,AME-7,10020,Feature,To Do,AME,Agile Manifesto Exercise,software,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,Medium,,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,05/Jan/25 9:47 PM,05/Jan/25 10:08 PM,06/Jan/25 12:32 PM,,,0,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0003b:,,,AME Sprint 1,,,,,,,,,,,,10015,Create a web-based platform to educate and engage users about the Agile Manifesto and methodologies.,To Do,05/Jan/25 9:47 PM
Story 1.1: Design and implement a visually appealing homepage.,AME-8,10021,Story,To Do,AME,Agile Manifesto Exercise,software,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,Medium,,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,05/Jan/25 9:47 PM,05/Jan/25 10:09 PM,06/Jan/25 12:33 PM,,,0,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0003j:,,,AME Sprint 1,,,,,,,,,,,,10015,Create a web-based platform to educate and engage users about the Agile Manifesto and methodologies.,To Do,05/Jan/25 9:47 PM
Subtask 1.1.1: Create wireframes for the homepage.,AME-9,10022,Task,To Do,AME,Agile Manifesto Exercise,software,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,Medium,,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,05/Jan/25 9:49 PM,05/Jan/25 10:36 PM,06/Jan/25 12:33 PM,,,0,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0003r:,,,AME Sprint 1,,,,,,,,,,,,10015,Create a web-based platform to educate and engage users about the Agile Manifesto and methodologies.,To Do,05/Jan/25 9:49 PM
Subtask 1.1.2: Develop HTML and CSS for the layout.,AME-10,10023,Task,To Do,AME,Agile Manifesto Exercise,software,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,Medium,,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,05/Jan/25 9:50 PM,05/Jan/25 10:36 PM,06/Jan/25 12:33 PM,,,0,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0003z:,,,AME Sprint 1,,,,,,,,,,,,10015,Create a web-based platform to educate and engage users about the Agile Manifesto and methodologies.,To Do,05/Jan/25 9:50 PM
Subtask 1.1.3: Integrate animations using JavaScript.,AME-11,10024,Task,To Do,AME,Agile Manifesto Exercise,software,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,Medium,,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,05/Jan/25 9:50 PM,05/Jan/25 10:36 PM,06/Jan/25 12:33 PM,,,0,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00047:,,,AME Sprint 1,,,,,,,,,,,,10015,Create a web-based platform to educate and engage users about the Agile Manifesto and methodologies.,To Do,05/Jan/25 9:50 PM
Subtask 1.1.4: Conduct user testing and gather feedback.,AME-12,10025,Task,To Do,AME,Agile Manifesto Exercise,software,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,Medium,,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,05/Jan/25 9:50 PM,05/Jan/25 10:36 PM,06/Jan/25 12:33 PM,,,0,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004f:,,,AME Sprint 1,,,,,,,,,,,,10015,Create a web-based platform to educate and engage users about the Agile Manifesto and methodologies.,To Do,05/Jan/25 9:50 PM
Story 1.2: Add an introduction to Agile and its history.,AME-13,10026,Story,To Do,AME,Agile Manifesto Exercise,software,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,Medium,,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,05/Jan/25 9:50 PM,05/Jan/25 10:36 PM,06/Jan/25 12:33 PM,,,0,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004n:,,,AME Sprint 1,,,,,,,,,,,,10015,Create a web-based platform to educate and engage users about the Agile Manifesto and methodologies.,To Do,05/Jan/25 9:50 PM
Subtask 1.2.1: Individuals over processes,AME-14,10027,Task,To Do,AME,Agile Manifesto Exercise,software,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,Medium,,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,05/Jan/25 9:52 PM,05/Jan/25 10:36 PM,06/Jan/25 12:33 PM,,,0,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004v:,,,AME Sprint 1,,,,,,,,,,,,10015,Create a web-based platform to educate and engage users about the Agile Manifesto and methodologies.,To Do,05/Jan/25 9:52 PM
Subtask 1.2.2: Focused on adaptability,AME-15,10028,Task,To Do,AME,Agile Manifesto Exercise,software,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,Medium,,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,05/Jan/25 9:52 PM,05/Jan/25 10:36 PM,06/Jan/25 12:33 PM,,,0,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00053:,,,AME Sprint 1,,,,,,,,,,,,10015,Create a web-based platform to educate and engage users about the Agile Manifesto and methodologies.,To Do,05/Jan/25 9:52 PM
Subtask 1.2.3: Created in 2001,AME-16,10029,Task,To Do,AME,Agile Manifesto Exercise,software,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,Medium,,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,05/Jan/25 9:52 PM,05/Jan/25 10:36 PM,06/Jan/25 12:33 PM,,,0,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0005b:,,,AME Sprint 1,,,,,,,,,,,,10015,Create a web-based platform to educate and engage users about the Agile Manifesto and methodologies.,To Do,05/Jan/25 9:52 PM
